,property_type,area_sqft,non_landed,bedrooms,price,state,area,median_psf,median_price,nearby_poi_education,nearby_poi_transportation,nearby_poi_healthcare
61,Condominium/Apartment,0.08000000000000002,1,0.42857142857142855,485000,Kuala Lumpur,Bandar Tun Razak,0.26609963547995136,0.06083916083916084,0.411764705882353,0.21428571428571427,0.26666666666666666
62,Semi-Detached House,0.37446254071661234,0,0.7142857142857142,2670000,Kuala Lumpur,Sri Hartamas,0.4720534629404617,0.36643356643356645,0.3137254901960784,0.023809523809523808,0.2
63,Hotel/Service Apartment,0.2566775244299674,1,0.5714285714285714,1840000,Kuala Lumpur,Taman Tun Dr Ismail,0.4483596597812879,0.2503496503496504,0.35294117647058826,0.16666666666666666,0.26666666666666666
64,Flat,0.09537459283387623,1,0.42857142857142855,210000,Kuala Lumpur,Kuchai Lama,0.08991494532199269,0.02237762237762238,0.28431372549019607,0.23809523809523808,0.13333333333333333
65,Terrace House,0.141628664495114,0,0.5714285714285714,700000,Kuala Lumpur,Cheras,0.2624544349939246,0.09090909090909091,0.2450980392156863,0.09523809523809523,0.0
66,Terrace House,0.3379804560260586,0,0.5714285714285714,2050000,Kuala Lumpur,Kepong,0.39307411907654916,0.27972027972027974,0.23529411764705882,0.14285714285714285,0.06666666666666667
67,Terrace House,0.1332899022801303,0,0.42857142857142855,700000,Kuala Lumpur,Cheras,0.27521263669501816,0.09090909090909091,0.411764705882353,0.19047619047619047,0.5333333333333333
68,Terrace House,0.16690553745928338,0,0.42857142857142855,680000,Kuala Lumpur,Kuchai Lama,0.2223572296476306,0.08811188811188812,0.2647058823529412,0.19047619047619047,0.13333333333333333
69,Terrace House,0.2944625407166123,0,0.42857142857142855,1420000,Kuala Lumpur,Taman Desa,0.3013365735115431,0.1916083916083916,0.3137254901960784,0.30952380952380953,0.26666666666666666
70,Semi-Detached House,0.24677524429967426,0,0.42857142857142855,750000,Kuala Lumpur,Kuchai Lama,0.17618469015795868,0.0979020979020979,0.27450980392156865,0.26190476190476186,0.26666666666666666
71,Terrace House,0.16130293159609121,0,0.5714285714285714,580000,Kuala Lumpur,Cheras,0.19198055893074117,0.07412587412587412,0.7450980392156862,0.6666666666666666,0.6666666666666666
72,Terrace House,0.1289902280130293,0,0.42857142857142855,915000,Kuala Lumpur,Kepong,0.37545565006075327,0.12097902097902098,0.45098039215686275,0.26190476190476186,0.3333333333333333
73,Terrace House,0.15570032573289902,0,0.42857142857142855,425000,Kuala Lumpur,Gombak,0.1391251518833536,0.05244755244755245,0.303921568627451,0.047619047619047616,0.0
74,Terrace House,0.1472312703583062,0,0.5714285714285714,600000,Kuala Lumpur,Salak Selatan,0.21506682867557714,0.07692307692307693,0.28431372549019607,0.23809523809523808,0.13333333333333333
75,Terrace House,0.2594136807817589,0,0.42857142857142855,1300000,Kuala Lumpur,Seputeh,0.307411907654921,0.17482517482517482,0.4411764705882353,0.47619047619047616,0.3333333333333333
76,Terrace House,0.06175895765472312,0,0.42857142857142855,470000,Kuala Lumpur,Setapak,0.30194410692588086,0.05874125874125874,0.6078431372549019,0.09523809523809523,0.3333333333333333
77,Terrace House,0.025276872964169382,0,0.42857142857142855,388000,Kuala Lumpur,Segambut,0.3693803159173754,0.04727272727272728,0.4019607843137255,0.14285714285714285,0.2
78,Semi-Detached House,0.30149837133550483,0,1.0,988000,Kuala Lumpur,Jalan Klang Lama (Old Klang Road),0.19866342648845686,0.13118881118881118,0.3137254901960784,0.14285714285714285,0.06666666666666667
79,Terrace House,0.16130293159609121,0,0.42857142857142855,580000,Kuala Lumpur,Cheras,0.19198055893074117,0.07412587412587412,0.27450980392156865,0.09523809523809523,0.26666666666666666
