,name,category,latitude,longitude
4786,Sekolah Kebangsaan Seri Sekamat,education,3.023908,101.77964899999999
4787,Sekolah Kebangsaan Sungai Kantan,education,3.001743,101.791298
4788,Sekolah Kebangsaan Kantan Permai,education,3.0184830000000002,101.806863
4789,Sekolah Kebangsaan Taman Rakan,education,3.03376,101.787572
4790,Sekolah Menengah Kebangsaan Yu Hua,education,2.995997,101.791168
4791,Sekolah Jenis Kebangsaan (Cina) Yu Hua,education,2.995068,101.791262
4792,Sekolah Kebangsaan Kajang,education,2.994324,101.790442
4793,Sekolah Jenis Kebangsaan (Tamil) Kajang,education,2.994106,101.795014
4794,Sekolah Kebangsaan Jalan Semenyih '2',education,2.9929580000000002,101.794613
4795,Sekolah Menengah Kebangsaan Tinggi Kajang,education,2.992496,101.79503199999999
4796,Sekolah Kebangsaan Jalan Semenyih '1',education,2.992419,101.795153
4797,Beaconhouse Private School - Sri Murni Campus,education,3.0313236,101.7698352
4798,Sekolah Kebangsaan Convent,education,2.989672,101.789765
4799,Universiti Tunku Abdul Rahman (UTAR) Sungai Long,education,3.04033,101.794719
4800,Sekolah Menengah Kebangsaan Convent,education,2.989626,101.79017900000001
4801,Sekolah Kebangsaan Cheras Jaya,education,3.020454,101.762851
4802,Klinik Desa Sungai Sekamat,healthcare,3.02268,101.772408
4803,Kajang Plaza Medical Centre,healthcare,2.9957246,101.7883484
4804,Hospital Kajang,healthcare,2.993393,101.79272900000001
4805,Sungai Long Medical Centre Sdn. Bhd.,healthcare,3.0395851,101.7950817
4806,Sungai Jernih,transportation,3.000492,101.783989
4807,Bukit Dukung,transportation,3.026384,101.771035
4808,Stadium Kajang,transportation,2.993929,101.786148
4835,Sekolah Kebangsaan (L) Bukit Bintang (2),education,3.097866,101.63657099999999
4838,Sekolah Kebangsaan (L) Bukit Bintang (1),education,3.097664,101.635999
4846,Sekolah Menengah Kebangsaan Sri Utama,education,3.098364,101.631003
4850,Sekolah Menengah Kebangsaan (P) Sri Aman,education,3.102159,101.62830500000001
